Column1	Column2	Column3
source filename	columns	description
"clinical_data.tsv
treatment_data.tsv
treatment_imaging_availability.tsv
mri_availability.tsv
ct_availability.tsv"	id_patient	Unique patient number in the database. 
clinical_data.tsv	survival (weeks)	Time difference (in weeks) between the patient's death and t0 MRI.
clinical_data.tsv	age_at_t0 (years)	Age of the patient (in years) at t0. 
clinical_data.tsv	who_performance_status	"Represent the World Health Organization performance status at t0: 
- 0: Asymptomatic;
- 1: Symptomatic but completely ambulatory;
- 2: Symptomatic, <50% in bed during the day;
- 3: Symptomatic, >50% in bed, but not bedbound;
- 4: Bedbound;
- 5: Dead."
clinical_data.csv	who_guideline	"Indicate which WHO guideline was used:
- 2016
- 2021"
clinical_data.tsv	gender	"Patient's gender category: 
- F: Female;
- M: Male.  "
clinical_data.tsv	height (cm)	Patient's standing height (cm) at t0. 
clinical_data.tsv	weight (kg)	Patient's body weight (kg) at t0.
treatment_data.tsv	delay_t0_to_radiotherapy (weeks)	Time difference (in weeks) between the glioblastoma diagnosis and the start date of radiotherapy. 
treatment_data.tsv	dose (Gy)	Total dose (in grays) administrated to the patient during the radiotherapy. 
treatment_data.tsv	fractions_number	Total number of radiotherapy fractions. 
"treatment_imaging_availability.tsv
mri_availability.tsv
ct_availability.tsv"	temporality	Imaging acquisition timepoint.
treatment_imaging_availability.tsv	gtv	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
treatment_imaging_availability.tsv	rtdose	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
treatment_imaging_availability.tsv	treatment_machine	"Type of radiotherapy machine: 
- CLI: Clinac;
- HA1: Halcyon1;
- HA2: Halcyon2;
- RA1: RapidArc1;
- RA2: RapidArc2;
- T1: Tometherapy1; 
- T2 : Tomotherapy2. "
treatment_imaging_availability.tsv	tps	"Type of treatment planning system: 
- PRECISION; 
- ECLIPSE; 
- RS: Raystation. "
mri_availability.tsv	time_diff_t0 (weeks)	Time difference (in weeks) between the considered mri timepoint (either to, t1 or t2) and its initial acquisition (t0).
mri_availability.tsv	t1gd	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	t1eg	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	t1tse	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	t2star	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	t2tse	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	flair	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	adc	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
mri_availability.tsv	mri_machine	"Type of MRI machine: 
- AERA (1.5 T);
- VIDA (3T). "
ct_availability.tsv	ct	"Availability status of the patient's image data in the database:
- 0: Not available;
- 1: Available. "
ct_availability.tsv	ct_machine	"Type of CT machine: 
- BIGBORE; 
- CONFIDENCE. "
treatment_imaging_availability.csv	gtv_type	"Indicate the source of the GTV:
- humanSegmentation
- genSegmentation"
rano.csv	size_t0 (cm3)	Size of the tumor at t0 in cm3
rano.csv	size_t1 (cm3)	Size of the tumor at t1 in cm3
rano.csv	size_t2 (cm3)	Size of the tumor at t2 in cm3
rano.csv	reduction_rate_t0_to_t1	Reduction rate from t0 tumor segmentation to t1 tumor segmentation
rano.csv	reduction_rate_t0_to_t2	Reduction rate from t0 tumor segmentation to t2 tumor segmentation
rano.csv	reduction_rate_t1_to_t2	Reduction rate from t1 tumor segmentation to t2 tumor segmentation
rano.csv	rano_t0_to_t1	"RANO criteria determine between the reduction of the tumor segmentation from t0 to t1:
- Complete Response (CR)
- Partial Response (PR)
- Minor Response (MR)
- Stable Disease (SD)
- Progressive Disease (PD)"
rano.csv	rano_t0_to_t2	"RANO criteria determine between the reduction of the tumor segmentation from t0 to t1:
- Complete Response (CR)
- Partial Response (PR)
- Minor Response (MR)
- Stable Disease (SD)
- Progressive Disease (PD)"
rano.csv	rano_t1_to_t2	"RANO criteria determine between the reduction of the tumor segmentation from t0 to t1:
- Complete Response (CR)
- Partial Response (PR)
- Minor Response (MR)
- Stable Disease (SD)
- Progressive Disease (PD)"
feature_extraction_pyradiomics	all columns	Output generated by the PyRadiomics Python library. For format details see: https://pyradiomics.readthedocs.io/en/latest/features
