scheme,n,metric,spearman_rho,p_value
60Gy_30fr,120,Dmean_gy,-0.09147264817413624,0.3204033135445766
60Gy_30fr,120,D95_gy,0.02776234289472057,0.7634175140155202
60Gy_30fr,120,volume_cc,-0.12274609047673303,0.18168052775720694
60Gy_30fr,120,HI_gy,-0.08608271119982973,0.3498628035886704
60Gy_30fr,120,gEUD_a10_gy,-0.10033548268343406,0.2755502192686459
40Gy_15fr,61,Dmean_gy,0.17241199517879632,0.18394774991858415
40Gy_15fr,61,D95_gy,-0.13505650381889753,0.2993785600161547
40Gy_15fr,61,volume_cc,-0.26479540582239874,0.03917883460247121
40Gy_15fr,61,HI_gy,0.16384033852114252,0.2070541940889972
40Gy_15fr,61,gEUD_a10_gy,0.20913254900849856,0.10576427417982792
